漢字,臺灣台語羅馬字
八億,peh-ik
八億,pueh-ik
九億,káu-ik
十億,tsa̍p-ik
十一億,tsa̍p-it-ik
十二億,tsa̍p-jī-ik
十二億,tsa̍p-lī-ik
十三億,tsa̍p-sann-ik
十四億,tsa̍p-sì-ik
十五億,tsa̍p-gōo-ik
十六億,tsa̍p-la̍k-ik
十七億,tsa̍p-tshit-ik
十八億,tsa̍p-peh-ik
十八億,tsa̍p-pueh-ik
十九億,tsa̍p-káu-ik
二十億,jī-tsa̍p-ik
二十一億,jī-tsa̍p-it-ik
二十二億,jī-tsa̍p-jī-ik
二十三億,jī-tsa̍p-sann-ik
二十四億,jī-tsa̍p-sì-ik
二十五億,jī-tsa̍p-gōo-ik
二十六億,jī-tsa̍p-la̍k-ik
二十七億,jī-tsa̍p-tshit-ik
二十八億,jī-tsa̍p-peh-ik
二十九億,jī-tsa̍p-káu-ik
二十億,lī-tsa̍p-ik
二十一億,lī-tsa̍p-it-ik
二十二億,lī-tsa̍p-lī-ik
二十三億,lī-tsa̍p-sann-ik
二十四億,lī-tsa̍p-sì-ik
二十五億,lī-tsa̍p-gōo-ik
二十六億,lī-tsa̍p-la̍k-ik
二十七億,lī-tsa̍p-tshit-ik
二十八億,lī-tsa̍p-pueh-ik
二十九億,lī-tsa̍p-káu-ik
三十億,sann-tsa̍p-ik
三十一億,sann-tsa̍p-it-ik
三十二億,sann-tsa̍p-jī-ik
三十二億,sann-tsa̍p-lī-ik
三十三億,sann-tsa̍p-sann-ik
三十四億,sann-tsa̍p-sì-ik
三十五億,sann-tsa̍p-gōo-ik
三十六億,sann-tsa̍p-la̍k-ik
三十七億,sann-tsa̍p-tshit-ik
三十八億,sann-tsa̍p-peh-ik
三十八億,sann-tsa̍p-pueh-ik
三十九億,sann-tsa̍p-káu-ik
四十億,sì-tsa̍p-ik
四十一億,sì-tsa̍p-it-ik
四十二億,sì-tsa̍p-jī-ik
四十二億,sì-tsa̍p-lī-ik
四十三億,sì-tsa̍p-sann-ik
四十四億,sì-tsa̍p-sì-ik
四十五億,sì-tsa̍p-gōo-ik
四十六億,sì-tsa̍p-la̍k-ik
四十七億,sì-tsa̍p-tshit-ik
四十八億,sì-tsa̍p-peh-ik
四十八億,sì-tsa̍p-pueh-ik
四十九億,sì-tsa̍p-káu-ik
五十億,gōo-tsa̍p-ik
五十一億,gōo-tsa̍p-it-ik
五十二億,gōo-tsa̍p-jī-ik
五十二億,gōo-tsa̍p-lī-ik
五十三億,gōo-tsa̍p-sann-ik
五十四億,gōo-tsa̍p-sì-ik
五十五億,gōo-tsa̍p-gōo-ik
五十六億,gōo-tsa̍p-la̍k-ik
五十七億,gōo-tsa̍p-tshit-ik
五十八億,gōo-tsa̍p-peh-ik
五十八億,gōo-tsa̍p-pueh-ik
五十九億,gōo-tsa̍p-káu-ik
六十億,la̍k-tsa̍p-ik
六十一億,la̍k-tsa̍p-it-ik
六十二億,la̍k-tsa̍p-jī-ik
六十二億,la̍k-tsa̍p-lī-ik
六十三億,la̍k-tsa̍p-sann-ik
六十四億,la̍k-tsa̍p-sì-ik
六十五億,la̍k-tsa̍p-gōo-ik
六十六億,la̍k-tsa̍p-la̍k-ik
六十七億,la̍k-tsa̍p-tshit-ik
六十八億,la̍k-tsa̍p-peh-ik
六十八億,la̍k-tsa̍p-pueh-ik
六十九億,la̍k-tsa̍p-káu-ik
七十億,tshit-tsa̍p-ik
七十一億,tshit-tsa̍p-it-ik
七十二億,tshit-tsa̍p-jī-ik
七十二億,tshit-tsa̍p-lī-ik
七十三億,tshit-tsa̍p-sann-ik
七十四億,tshit-tsa̍p-sì-ik
七十五億,tshit-tsa̍p-gōo-ik
七十六億,tshit-tsa̍p-la̍k-ik
七十七億,tshit-tsa̍p-tshit-ik
七十八億,tshit-tsa̍p-peh-ik
七十八億,tshit-tsa̍p-pueh-ik
七十九億,tshit-tsa̍p-káu-ik
八十億,peh-tsa̍p-ik
八十一億,peh-tsa̍p-it-ik
八十二億,peh-tsa̍p-jī-ik
八十二億,peh-tsa̍p-lī-ik
八十三億,peh-tsa̍p-sann-ik
八十四億,peh-tsa̍p-sì-ik
八十五億,peh-tsa̍p-gōo-ik
八十六億,peh-tsa̍p-la̍k-ik
八十七億,peh-tsa̍p-tshit-ik
八十八億,peh-tsa̍p-peh-ik
八十八億,peh-tsa̍p-pueh-ik
八十九億,peh-tsa̍p-káu-ik
八十億,pueh-tsa̍p-ik
八十一億,pueh-tsa̍p-it-ik
八十二億,pueh-tsa̍p-jī-ik
八十二億,pueh-tsa̍p-lī-ik
八十三億,pueh-tsa̍p-sann-ik
八十四億,pueh-tsa̍p-sì-ik
八十五億,pueh-tsa̍p-gōo-ik
八十六億,pueh-tsa̍p-la̍k-ik
八十七億,pueh-tsa̍p-tshit-ik
八十八億,pueh-tsa̍p-peh-ik
八十八億,pueh-tsa̍p-pueh-ik
八十九億,pueh-tsa̍p-káu-ik
九十億,káu-tsa̍p-ik
九十一億,káu-tsa̍p-it-ik
九十二億,káu-tsa̍p-jī-ik
九十二億,káu-tsa̍p-lī-ik
九十三億,káu-tsa̍p-sann-ik
九十四億,káu-tsa̍p-sì-ik
九十五億,káu-tsa̍p-gōo-ik
九十六億,káu-tsa̍p-la̍k-ik
九十七億,káu-tsa̍p-tshit-ik
九十八億,káu-tsa̍p-peh-ik
九十八億,káu-tsa̍p-pueh-ik
九十九億,káu-tsa̍p-káu-ik
一兆,tsi̍t-tiāu
兩兆,nn̄g-tiāu
二兆,jī-tiāu
二兆,lī-tiāu
三兆,sann-tiāu
四兆,sì-tiāu
五兆,gōo-tiāu
六兆,la̍k-tiāu
七兆,tshit-tiāu
八兆,peh-tiāu
八兆,pueh-tiāu
九兆,káu-tiāu
十兆,tsa̍p-tiāu
十一兆,tsa̍p-it-tiāu
十二兆,tsa̍p-jī-tiāu
十二兆,tsa̍p-lī-tiāu
十三兆,tsa̍p-sann-tiāu
十四兆,tsa̍p-sì-tiāu
十五兆,tsa̍p-gōo-tiāu
十六兆,tsa̍p-la̍k-tiāu
十七兆,tsa̍p-tshit-tiāu
十八兆,tsa̍p-peh-tiāu
十八兆,tsa̍p-pueh-tiāu
十九兆,tsa̍p-káu-tiāu
二十兆,jī-tsa̍p-tiāu
二十一兆,jī-tsa̍p-it-tiāu
二十二兆,jī-tsa̍p-jī-tiāu
