漢字,臺灣台語羅馬字
tuh-ku,tuh-ku
tu̍h,tu̍h
tuì,tuì
uân-á,uân-á
uànn,uànn
uat,uat
ueh,ueh
ue̋,ue̋
ui,ui
uì,uì
