漢字,臺灣台語羅馬字
達仁鄉,Ta̍t-jîn-hiong
花蓮縣,Hua-liân-kuān
花蓮縣,Hua-lian-kuān
花蓮市,Hua-liân-tshī
花蓮港,Hue-liân-káng
新城鄉,Sin-siânn-hiong
秀林鄉,Siù-lîm-hiong
吉安鄉,Kiat-an-hiong
壽豐鄉,Siū-hong-hiong
鳳林鎮,Hōng-lîm-tìn
光復鄉,Kong-ho̍k-hiong
豐濱鄉,Hong-pin-hiong
瑞穗鄉,Tsuí-bué-hiong
水尾鄉,Tsuí-bué-hiong
瑞穗鄉,Suī-suī-hiong
瑞穗鄉,Suī-huī-hiong
萬榮鄉,Bān-îng-hiong
玉里鎮,Gio̍k-lí-tìn
卓溪鄉,Toh-khe-hiong
卓溪鄉,Tak-khe-hiong
富里鄉,Hù-lí-hiong
金門縣,Kim-mn̂g-kuān
金沙鎮,Kim-sua-tìn
金湖鎮,Kim-ôo-tìn
金寧鄉,Kim-lîng-hiong
金城鎮,Kim-siânn-tìn
烈嶼鄉,Le̍h-sīr-hiong
烏坵鄉,Oo-khu-hiong
烏坵鄉,Oo-khiu-hiong
連江縣,Liân-kang-kuān
南竿鄉,Lâm-kan-hiong
北竿鄉,Pak-kan-hiong
莒光鄉,Kí-kong-hiong
東引鄉,Tang-íng-hiong
東湧鄉,Tang-íng-hiong
礁溪,Ta-khe
礁溪,Ta-khe
壯圍,Tsòng-uî
壯圍,Tsòng-uî
員山,Înn-suann
員山,Înn-suann
三星,Sam-sing
三星,Sam-sing
大同,Tāi-tông
大同,Tāi-tông
五結,Gōo-kiat
五結,Gōo-kiat
冬山,Tang-suann
冬山,Tang-suann
南澳,Lâm-ò
南澳,Lâm-ò
湖口,Ôo-kháu
新豐,Sin-hong
芎林,Kiong-nâ
寶山,Pó-suann
寶山,Pó-san
五峰,Ngóo-hong
橫山,Huînn-suann
橫山,Huâinn-suann
尖石,Tsiam-tsio̍h
北埔,Pak-poo
峨眉,Ge̍h-bâi
月眉,Ge̍h-bâi
峨眉,Ngôo-bî
三灣,Sam-uan
南庄,Lâm-tsng
獅潭,Sai-thâm
造橋,Tsō-kiô
頭屋,Thâu-ok
公館,Kong-kuán
大湖,Tuā-ôo
泰安,Thài-an
銅鑼,Tâng-lô
三義,Sam-gī
西湖,Se-ôo
芬園,Hun-hn̂g
花壇,Hue-tuânn
秀水,Siù-tsuí
福興,Hok-hing
線西,Suànn-sai
伸港,Sin-káng
新港,Sin-káng
社頭,Siā-thâu
永靖,Íng-tsīng
永靖,Éng-tsēng
埔心,Poo-sim
大村,Tāi-tshuan
埔鹽,Poo-iâm
田尾,Tshân-bué
埤頭,Pi-thâu
溪州,Khe-tsiu
竹塘,Tik-tn̂g
大城,Tuā-siânn
芳苑,Hong-uán
二水,Jī-tsuí
中寮,Tiong-liâu
國姓,Kok-sìng
仁愛,Jîn-ài
名間,Bîng-kan
水里,Tsuí-lí
魚池,Hî-tî
信義,Sìn-gī
鹿谷,Lo̍k-kok
番路,Huan-lōo
梅山,Buê-san
竹崎,Tik-kiā
阿里山,A-lí-san
中埔,Tiong-poo
大埔,Tuā-poo
水上,Tsuí-siōng
水上,Tsuí-siāng
鹿草,Lo̍k-tsháu
東石,Tang-tsio̍h
六腳,La̍k-kha
新港,Sin-káng
民雄,Bîn-hiông
溪口,Khe-kháu
義竹,Gī-tik
大埤,Tuā-pi
褒忠,Po-tiong
東勢,Tang-sì
臺西,Tâi-se
崙背,Lūn-puè
麥寮,Be̍h-liâu
林內,Nâ-lāi
古坑,Kóo-khenn
莿桐,Tshì-tông
二崙,Jī-lūn
水林,Tsuí-nâ
口湖,Kháu-ôo
四湖,Sì-ôo
元長,Guân-tsióng
元掌,Guân-tsióng
西嶼,Sai-sū
望安,Bāng-uann
網垵,Bāng-uann
七美,Tshit-bí
白沙,Pe̍h-sua
湖西,Ôo-sai
三地門,Suann-ti-mn̂g
山豬毛,Suann-ti-mn̂g
霧臺,Bū-tâi
瑪家,Má-ka
九如,Kiú-jû
里港,Lí-káng
高樹,Ko-tshiū
鹽埔,Iâm-poo
長治,Tióng-tī
麟洛,Lîn-lo̍k
竹田,Tik-tshân
內埔,Lāi-poo
萬丹,Bān-tan
泰武,Thài-bú
來義,Lâi-gī
萬巒,Bân-bân
蠻蠻,Bân-bân
崁頂,Khàm-tíng
新埤,Sin-pi
南州,Lâm-tsiu
林邊,Nâ-pinn
林仔邊,Nâ-á-pinn
林邊,Na̋-pinn
琉球,Liû-khiû
佳冬,Ka-tang
新園,Sin-hn̂g
枋寮,Pang-liâu
枋山,Pang-suann
崩山,Pang-suann
春日,Tshun-ji̍t
獅子,Sai-á
獅仔,Sai-á
車城,Tshâ-siânn
柴城,Tshâ-siânn
牡丹,Bóo-tan
滿州,Buán-tsiu
綠島,Li̍k-tó
蘭嶼,Lân-sū
延平,Iân-pîng
卑南,Pi-lâm
鹿野,Lo̍k-iá
海端,Hái-tuan
池上,Tî-siōng
東河,Tong-hô
長濱,Tiông-pin
太麻里,Thài-mâ-lí
金峰,Kim-hong
大武,Tāi-bú
達仁,Ta̍t-jîn
新城,Sin-siânn
秀林,Siù-lîm
吉安,Kiat-an
壽豐,Siū-hong
光復,Kong-ho̍k
豐濱,Hong-pin
瑞穗,Tsuí-bué
水尾,Tsuí-bué
瑞穗,Suī-suī
瑞穗,Suī-huī
萬榮,Bān-îng
卓溪,Toh-khe
卓溪,Tak-khe
富里,Hù-lí
金寧,Kim-lîng
烈嶼,Le̍h-sīr
烏坵,Oo-khu
烏坵,Oo-khiu
南竿,Lâm-kan
北竿,Pak-kan
莒光,Kí-kong
東引,Tang-íng
東湧,Tang-íng
中正,Tiong-tsìng
大同,Tāi-tông
中山,Tiong-san
松山,Siông-san
大安,Tāi-an
萬華,Bān-huâ
信義,Sìn-gī
士林,Sū-lîm
北投,Pak-tâu
內湖,Lāi-ôo
南港,Lâm-káng
文山,Bûn-san
仁愛,Jîn-ài
信義,Sìn-gī
中正,Tiong-tsìng
中山,Tiong-san
安樂,An-lo̍k
暖暖,Luán-luán
七堵,Tshit-tóo
萬里,Bān-lí
金山,Kim-san
枋橋,Pang-kiô
汐止,Si̍p-tsí
汐止,Si̍k-tsí
深坑,Tshim-khinn
石碇,Tsio̍h-tīng
瑞芳,Suī-hong
平溪,Pîng-khue
平溪,Pîng-khe
平溪,Pînn-khere
平溪,Pîng-khere
雙溪,Siang-khe
貢寮,Kòng-liâu
新店,Sin-tiàm
坪林,Pînn-nâ
烏來,U-lai
永和,Íng-hô
中和,Tiong-hô
塗城,Thôo-siânn
三峽,Sam-kiap
樹林,Tshiū-nâ
鶯歌,Ing-ko
三重,Sam-tiông
新莊,Sin-tsng
泰山,Thài-san
林口,Nâ-kháu
蘆洲,Lôo-tsiu
五股,Gōo-kóo
八里,Pat-lí
淡水,Tām-tsuí
淡水,Tām-suí
三芝,Sam-tsi
石門,Tsio̍h-mn̂g
香山,Hiong-san
中壢,Tiong-li̍k
平鎮,Pîng-tìn
龍潭,Liông-thâm
楊梅,Iûnn-muî
新屋,Sin-ok
觀音,Kuan-im
桃園,Thô-hn̂g
龜山,Ku-suann
八德,Peh-teh
八塊,Peh-teh
八德,Pat-tik
大溪,Tāi-khe
復興,Ho̍k-hing
大園,Tuā-hn̂g
蘆竹,Lôo-tik
北屯,Pak-tūn
